Place,Latitude,Longitude,Url
Tegallang rice terraces,-8.4340403,115.2770682,www.google.co.in/
Ulun Danu Beratan Temple,-8.2751807,115.1646347,www.google.co.in/
Coffee plantation tour,-8.2812629,115.08459,www.google.co.in/
Leke leke waterfall,-8.3643494,115.1951144,www.google.co.in/
Pura Tirta Empul ,-8.4158511,115.2491067,www.google.co.in/
Tukad Cepung Waterfalls,-8.4410173,115.3846192,www.google.co.in/
Tirta ganga palace,-8.4123473,115.5851032,www.google.co.in/
Lehangan sweet view point,-8.37215,115.6371184,www.google.co.in/
Tibumana waterfall,-8.5068384,115.3308944,www.google.co.in/
Sacred Monkey forest,-8.5193723,115.2437209,www.google.co.in/
Ubud art market,-8.5071562,115.2603838,www.google.co.in/
Ubud palace,-8.5067194,115.2605335,www.google.co.in/
Saraswati Temple,-8.5057357,115.2446775,www.google.co.in/
Gili T Island,-8.3503092,116.0274514,www.google.co.in/
Crystal beach,-8.7156144,115.4422911,www.google.co.in/
Keling king beach,-8.7503865,115.4704331,www.google.co.in/
Angel Billabong,-8.7335003,115.4160198,www.google.co.in/
Broken beach,-8.7327934,115.4339229,www.google.co.in/
Hike to Guangan waterfall,-8.7812546,115.5173131,www.google.co.in/
Diamond beach,-8.7751348,115.6180395,www.google.co.in/
Tanah lot temple,-8.621213,115.086807,www.google.co.in/
Kuta market,-8.7209358,115.1664696,www.google.co.in/
Padang Padang beach,-8.8111524,115.1016356,www.google.co.in/
Uluwata temple,-8.8293566,115.0840778,www.google.co.in/
Timbumma ,-8.5047047,115.329409,www.google.co.in/
Pura tirta temple,-8.4157037,115.3068497,www.google.co.in/
Alas harum,-8.43989,115.2784188,www.google.co.in/
KYND Cafe,-8.6747474,115.1544579,www.google.co.in/
Ulluwatu temple,-8.8291432,115.0849069,www.google.co.in/
Legion night club,-8.7131181,115.155561,www.google.co.in/
Swing heaven,-8.5010689,115.236199,www.google.co.in/
Monkey forest,-8.5192233,115.2586697,www.google.co.in/
Lempuyang Temple,-8.3913786,115.6285085,www.google.co.in/
Atuh Beach,-8.773411,115.604309,www.google.co.in/
Crystal bay,-8.7154245,115.45674,www.google.co.in/
Finns beach club,-8.6667652,115.1372097,www.google.co.in/
Taman Soekasada Ujung,-8.4630811,115.6284805,www.google.co.in/
Puri Agung Karangasem,-8.4436684,115.613817,www.google.co.in/
Tenganan Pegeringsingan Village,-8.4768321,115.5496837,www.google.co.in/
